1;Akademmistechko;1;0,06;0,2;
2;Zhytomyrska;1;0,1;0,23;
3;Sviatoshyn;1;0,13;0,26;
4;Nyvky;1;0,16;0,28;
5;Beresteiska;1;0,2;0,33;
6;Shuliavska;1;0,24;0,38;
7;Politekhnichnyi Instytut;1;0,28;0,41;
8;Vokzalna;1;0,35;0,45;
9;Universytet;1;0,42;0,45;
10;Teatralna;1;0,5;0,45;
11;Khreshchatyk;1;0,59;0,45;
12;Arsenalna;1;0,69;0,46;
13;Dnipro;1;0,73;0,49;
14;Hidropark;1;0,78;0,52;
15;Livoberezhna;1;0,84;0,49;
16;Darnytsia;1;0,88;0,46;
17;Chernihivska;1;0,91;0,44;
18;Lisova;1;0,95;0,41;
19;Heroiv Dnipra;2;0,57;0,02;
20;Minska;2;0,57;0,09;
21;Obolon;2;0,57;0,15;
22;Petrivka;2;0,57;0,21;
23;Tarasa Shevchenka;2;0,57;0,25;
24;Kontraktova Ploshcha;2;0,57;0,3;
25;Poshtova Ploshcha;2;0,57;0,35;
26;Maidan Nezalezhnosti;2;0,57;0,4;
27;Ploshcha Lva Tolstoho;2;0,51;0,52;
28;Olimpiiska;2;0,47;0,61;
29;Palats Ukrayina;2;0,47;0,69;
30;Lybidska;2;0,47;0,73;
31;Demiivska;2;0,43;0,78;
32;Holosiivska;2;0,4;0,82;
33;Vasylkivska;2;0,37;0,88;
34;Vystavkovyi Tsentr;2;0,34;0,93;
35;Ipodrom;2;0,28;0,98;
36;Teremky;2;0,21;0,98;
37;Syrets;3;0,3;0,25;
38;Dorohozhychi;3;0,38;0,3;
39;Lukianivska;3;0,42;0,34;
40;Zoloti Vorota;3;0,47;0,38;
41;Palats Sportu;3;0,56;0,52;
42;Klovska;3;0,58;0,57;
43;Pecherska;3;0,58;0,62;
44;Druzhby Narodiv;3;0,58;0,66;
45;Vydubychi;3;0,6;0,71;
46;Slavutych;3;0,66;0,78;
47;Osokorky;3;0,7;0,8;
48;Pozniaky;3;0,76;0,85;
49;Kharkivska;3;0,82;0,93;
50;Vyrlytsia;3;0,87;0,87;
51;Boryspilska;3;0,9;0,84;
52;Chervony Khutir;3;0,95;0,8;
